NAMA,HARGA,LOKASI,LUAS_TANAH,LUAS_BANGUNAN,KAMAR_TIDUR,KAMAR_MANDI,SERTIFIKAT,DAYA_LISTRIK,GARASI,JUMLAH_LANTAI,DESKRIPSI,HARGA_NUMERIC,LUAS_TANAH_NUMERIC,LUAS_BANGUNAN_NUMERIC,KAMAR_TIDUR_NUMERIC,KAMAR_MANDI_NUMERIC
Dijual Rumah Siap Pakai Daerah Sariwangi Regency,Rp 1 Miliar,"Sariwangi, Bandung",61 m²,55 m²,2.0,2.0,SHM,2200 Watt,,2.0,"Rumah di Sariwangi.  Cek segera rumah 2 lantai yang asri ini,  dijual dengan pemandangan asri yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di area yang mudah dijangkau serta menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian aman.  Spesifikasi Utama Properti:    - Kamar Tidur: 2   - Kamar Mandi: 2   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 2200 W   - Arah Bangunan: Menghadap Barat   - Kondisi Perabotan: Unfurnished  Dilengkapi dengan:    - Akses Parkir.  Fitur unggulan:    - Siap Huni.   - Sejuk.   - Pemandangan Gunung.   - Properti Bisa Nego.   - Akses Jalan Muat 2 Mobil.  Terletak di Sariwangi, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.  Dengan harga Rp. 1.000.000.xxx, anda bisa memiliki hunian istimewa yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. Ambil kesempatan untuk menikmati investasi di kawasan Sariwangi yang nyaman ini!  Kontak segera untuk informasi lebih lanjut!",1000000000.0,61.0,55.0,2.0,2.0
Dijual Rumah Modern Baru di Antapani Kota Bandung,"Rp 2,1 Miliar","Antapani, Bandung",112 m²,160 m²,4.0,3.0,SHM,Lainnya,,2.0,"Dijual rumah baru Modern Tropis di  Antapani Bandung  Luas tanah 112m² Luas bangunan 160m² Kamar tidur 4+1 Kamar mandi 3+1 2 lantai Listrik 2200  Air submersible 70m Taman depan dan belakang Carport 2 mobil SHM+PBG  Furnishing : ✅Granite Tile Roman & Granite Tile Niro ✅Electrical Nero  Free : ✅Smart Door Lock ✅Kitchen Set (Optional)  ✅Canopy (Optional)   Harga 2,1 M nego",21000000000.0,112.0,160.0,4.0,3.0
"Rumah 2 lantai semifurnished Cigadung, Bandung full view","Rp 3,5 Miliar","Cigadung, Bandung",163 m²,200 m²,3.0,3.0,SHM,3500 Watt,,2.0,"Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Cigadung, Bandung.  Rumah ini menawarkan kelengkapan fasilitas serta memiliki nilai tepat yang siap untuk segera Anda miliki, utamanya bagi Anda yang mencari hunian di lokasi yang terjangkau.  Kondisi properti ini bagus dan memiliki desain indah yang menambah daya tarik dan estetika properti ini. Rumah ini berada di area yang mudah dijangkau.  Detail Properti ini adalah:    - Kamar Tidur: 3   - Kamar Mandi: 3   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 3500 watt   - Arah Bangunan: Menghadap Selatan   - Kondisi Perabotan: Furnished  Tersedia berbagai fasilitas lengkap, seperti:    - Wastafel.   - Kitchen Set.   - Kulkas.   - Pemanas Air.   - Kompor.   - Keamanan 24 jam.   - One Gate System.   - Taman.   - Akses Parkir.   - CCTV.   - Tempat Jemuran.   - Taman.  Tidak hanya itu, namun properti ini juga memiliki keunggulan sebagai berikut:    - Full Furnished.   - Siap Huni.   - Bebas Banjir.   - Dekat Pusat Perbelanjaan.   - Dekat Sekolah Internasional.   - Dekat Universitas.   - Dekat Fasilitas Kesehatan.   - Dekat Sekolah Negeri.   - Dekat Tempat Wisata.   - Dekat Tempat Ibadah.  Lokasi Strategis terletak di Cigadung, properti ini memudahkan akses Anda ke fasilitas-fasilitas utama dan unggulan.  Harga yang sangat kompetitif yaitu, Rp. 3.500.000.xxx, rumah ini siap menjadi milik Anda!  Nikmati segala kemudahan dan berbagai keunggulan menarik saat properti eksklusif ini milik Anda.",35000000000.0,163.0,200.0,3.0,3.0
Rumah di Tengah Kota Sayap Bkr Buah Batu,"Rp 1,8 Miliar","BKR, Bandung",144 m²,200 m²,3.0,2.0,SHM,2200 Watt,,1.0,"Rumah Di Tengah Kota Sayap BKR Buah Batu  Spesifikasi : > Jumlah Lantai : 2 Lantai  > Luas Tanah : 144 m2 > Luas Bangunan : 200 m2 > Orientasi Hadap : Timur > Kamar Tidur : 3 > Kamar Mandi : 2 > Pasokan Listrik : 2200 > Sumber Air : Jetpump > Carport : 1 mobil - Row jalan : 2 mobil  - Legalitas : SHM   > Harga : Rp. 1,8 M Nego",18000000000.0,144.0,200.0,3.0,2.0
Rumah Minimalis Siap Huni di Sriwijaya Sayap Bkr,"Rp 6,6 Miliar","BKR, Bandung",300 m²,240 m²,6.0,4.0,SHM,3500 Watt,,1.0,"Rumah bergaya minimalist modern di BKR.  Dapatkan rumah 1 lantai yang modern ini,  dijual dengan pemandangan perkotaan yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di wilayah perumahan/komplek serta menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian strategis.  Spesifikasi Utama Properti:    - Kamar Tidur: 6   - Kamar Mandi: 4   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 3500 W   - Kondisi Perabotan: Unfurnished  Dilengkapi dengan:    - Keamanan 24 jam.   - Tempat Jemuran.   - Tempat Jemuran.  Fitur unggulan:    - Bisa KPR.   - Siap Huni.   - Bebas Banjir.   - Cocok Untuk Investasi.   - Akses Jalan Muat 2 Mobil.   - Properti Bisa Nego.  Terletak di BKR, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.  Dengan harga Rp. 6.600.000.xxx, anda bisa memiliki hunian terbaik yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. Jangan lewatkan kesempatan untuk menikmati pengalaman tinggal di kawasan BKR yang nyaman ini!  Hubungi segera untuk informasi lebih lanjut!",66000000000.0,300.0,240.0,6.0,4.0
Rumah Kartawijaya Tatar Baru Kbp Kotar Baru Parahyangan Padalarang Bandung,"Rp 2,4 Miliar","Kota Baru Parahyangan, Bandung",120 m²,117 m²,3.0,2.0,SHM,Lainnya,,2.0,"Jual Kartawijaya tatar baru Kbp kotar baru parahyangan padalarang bandung   Tatar terdepan , harga terjangkau, cara bayar flexible bisa kpr, cicilan bertahap  Kesempatan emas memiliki rumah di kawasan premium Kota Baru Parahyangan! Kini hadir Tatar Kartawijaya, dengan pilihan tipe rumah eksklusif:  Wijaya Puspa -  LT 120m2 LB 117m2 3 KT 2 KM  Harga 2.4 M  Wijaya Padma  LT 120m2 LB 131 m2 4 KT  2 KM  Harga 2.6 M    Promo Spesial 25 unit pertama Bonus Logam Mulia 5gr  KPR free Provinsi DP bisa dicicil hingga 15 kali!  Jangan sampai kehabisan! Karna cluster tidak besar unitpun terbatas   Juga djual hanya 6 kavling ukuran 143m2   Hubungi saya sekarang untuk info lebih lanjut & survey lokasi  Irene Y sap",24000000000.0,120.0,117.0,3.0,2.0
Dijual 2 Unit Rumah Baru Daerah Suryalaya Bandung,"Rp 2,5 Miliar","Buah Batu, Bandung",100 m²,160 m²,4.0,3.0,SHM,Lainnya,,2.0,"Dijual 2 Unit Rumah Daerah Suryalaya ( Rumah Baru )  SHM/PBG/PBB: ADA Luas Tanah: 100 m² Luas Bangunan: 160 m² Lebar Muka: 5,5 meter Kamar Tidur: 4 Kamar Mandi: 3 Air: Submersible ( 50 meter) Listrik: 1300 Carport: 2 (dalam pagar) Hadap: Utara  Lantai Granite 80x80 cm Atap UPVC Kusen Pintu & Jendela Alumunium Smart Door lock  Harga: 2,5 M ( Nego )  VEN",25000000000.0,100.0,160.0,4.0,3.0
Dijual Ready Stock Rumah/Villa Eksklusif di Belakang Eldorado Lembang,Rp 975 Juta,"Sukasari, Bandung",90 m²,84 m²,3.0,2.0,SHM,Lainnya,,2.0,"✨ Dijual Ready Stock Rumah/Villa Eksklusif ✨   Luas Bangunan / Tanah: 90 / 84 m²  2 Lantai | 1 Ruang Tamu | 1 Ruang Keluarga  3 Kamar Tidur |  2 Kamar Mandi  Dapur |  Carport |  Taman Belakang  Full Furnished - Tinggal bawa koper!  Harga: 975 juta aja  Lokasi strategis Setiabudi Bandung, desain modern, nyaman untuk hunian maupun investasi.   Yuk Survey Villa Syariah D'GreenVille Setiabudi Lembang  Hubungi sekarang, unit terbatas!  #villasyariah #villasyariahlembang #villasyariahbandung #villasyariahjawabarat #DGreenVilleSetiabudi  #tin",975000000.0,90.0,84.0,3.0,2.0
"Permai - Siap Huni, Harga Bersahabat",Rp 850 Juta,"Kopo, Bandung",141 m²,54 m²,3.0,2.0,SHM,Lainnya,,1.0,"Rumah Murah Terawat di Kopo Permai - Siap Huni, Harga Bersahabat  Luas tanah 141 Luas bangunan 54 SHM  Kamar tidur 3  Kamar mandi 2 Listrik 2200 Air Sible  Hadap barat  Harga 850 JT  # lrm",850000000.0,141.0,54.0,3.0,2.0
Rumah Cluster Ivora Lokasi Strategis di Summarecon Bandung,"Rp 1,8 Miliar","Summarecon Bandung, Bandung",84 m²,91 m²,3.0,3.0,HGB,2200 Watt,,2.0,"Desain clubhouse yang luas dan terbuka, dengan interior modern dan pencahayaan alami, memberikan suasana akrab bagi penghuni untuk bertemu atau sekedar ngobrol di area kolam renang maupun di taman-taman dalam cluster. Serta one-gate system yang menjaga privacy dan keamanan cluster.  Luas Tanah 84 M2 Luas abangunan 91 M² Kamar Tidur 3 Kamar Mandi 3 + 1 Carport 2 Listrik 2.200 Watt Air Artesis Developer  Harga Tunai 2,007 M Harga KPR 2,09 M  Fasilitas Cluster Ivora: One Gate System Garden Clubhouse Children Playground  Fasilitas Perumahan: MASTERPLAN : 1. Summarecon Mall Bandung 2. Stasiun Whoosh Tegalluar Summarecon 3. Sekolah Islam Al-Azhar 4. Sekolah Terpadu Sedaya Bintang (On Progress) 5. Setiabudhi Supermarket 6. RS Santo Borromeus (On Progress) 7. Gerai Pelayanan Publik (GPP) 8. ITB Innovation Park 9. Pintu Tol Gedebage KM 149 Padaleunyi 10. GBI Bethel Summarecon (On Progress)",18000000000.0,84.0,91.0,3.0,3.0
Rumah Baru 1 Lantai di Kopo Katapang Bandung,Rp 708 Juta,"Katapang, Bandung",84 m²,45 m²,2.0,1.0,SHM,Lainnya,,1.0,"Dijual Rumah Baru Minimalis di Kopo Katapang Bandung  Lokasi Strategis Lingkungan Aman  Specs Rumah : Luas Tanah : 84m Luas Bangunan : 45m Kamar Tidur : 2 Kamar Mandi : 1 Listrik : 1300w Air : PDAM  Price : 708jt* Note : Dapatkan Promo Menarik Khusus Bulan Ini  More Info :  Hariadi Tan Lie Kwang Discovery Property 0812xxxx***  bandung, katapang, kopo, cilampeni, terusan kopo, soreang, kopo bihbul, katapang andir, gandasari, pasung kaler, baraja, katapang kulon, terusan kopo katapang, borma katapang, kopo katapang",708000000.0,84.0,45.0,2.0,1.0
Rumah Bagus dan Luas di Tatar Spatirasmi Kbp,"Rp 5,7 Miliar","Kota Baru Parahyangan, Bandung",301 m²,238 m²,4.0,3.0,Lainnya,Lainnya,1.0,2.0,"Rumah Bagus dan Luas di Tatar Spatirasmi KBP  Lt. 301m2 Lb. 238m2 Kamar Tidur 4+1 Kamar Mandi 3+1 Garasi 1 Mobil Carport 2 Mobil Taman  Harga 6,25M TURUN!!! menjadi 5,7M  Dekat dengan : - Parahyangan Golf - RSIA Parahyangan - Wahoo Waterwolrd dll  Untuk informasi lebih lanjut, hubungi : Hanny Liu - Discovery Property  Rumah Kota Baru Parahyangan Rumah KBP Dijual Rumah dengan Taman",57000000000.0,301.0,238.0,4.0,3.0
Rumah Cantik & Asri 2 Lantai dengan Taman Belakang di Kbp-Kota Baru Parahyangan,"Rp 4,5 Miliar","Kota Baru Parahyangan, Bandung",297 m²,250 m²,4.0,3.0,SHM,2200 Watt,1.0,2.0,"Dijual rumah 2 lantai yang nyaman dan terawat, berlokasi di kawasan Kota Baru Parahyangan. Memiliki tata ruang yang fungsional dengan pencahayaan alami yang baik serta area hijau yang menunjang kenyamanan hunian keluarga.  Spesifikasi Utama: - Luas Tanah 297 m² - Luas Bangunan 250 m² - 2 Lantai - 4 Kamar Tidur + 1 Kamar ART - 3 Kamar Mandi + 1 Kamar Mandi ART - Listrik 2.200 Watt - Sertifikat SHM - Hadap Timur - Garasi dan Carport - Taman Belakang yang Luas  Lokasi berada di kawasan terencana dengan lingkungan yang rapi dan tenang, serta akses mudah ke fasilitas pendidikan, pusat kuliner, dan akses tol.  Harga: Rp 4,5 Miliar  More details, Vivi Tan Discovery property Telp/Whatsapp 0812200xxxx",45000000000.0,297.0,250.0,4.0,3.0
Jual Cepat Rumah di Margahayu Raya Harga Dibawah NJOP,Rp 785 Juta,"Buah Batu, Bandung",102 m²,150 m²,3.0,2.0,SHM,1300 Watt,,2.0,"Dijual cepat rumah di komplek margahayu raya bandung jl. meteor barat, lokasi nyaman dan aman bebas banjir dekat pos satpam dekat metro indah mall dekat kantor polisi dekat ke masjid",785000000.0,102.0,150.0,3.0,2.0
Cluster Ready 2 Lantai Kalasan Residence Cimahi Selatan Bandung,Rp 960 Juta,"Cimahi, Bandung",60 m²,90 m²,3.0,3.0,SHM,2200 Watt,,2.0,"Cluster Kalasan Residence  Jl.Kalasan raya, komplek parmindo, kelurahan melong asri, Cimahi selatan, Bandung  Bisa Pesan 1 atau 2 Lantai  mengusung konsep rumah milenial modern memaksimalkan ruang dan lahan, design yg mewah dan modern, dengan bahan bangunan yg terbaik dikelasnya standard indonesia.  kemudahan akses ke pusat pusat perekonomian maupun perkantoran, dekat dengan rumah sakit dan pusat perbelanjaan, milikilah segera hunian yg anda idamkan sekarang juga.  Aksesnya dekat pintu tol baros Dekat RS avisena Dekat borma cijerah Akses ke pusat kuluner  Spesifikasi : Pondasi plat beton Dinding heabel (2 dinding) Lantai granit 60x60 Jendela aluminium Plafon gypsum Genteng multiroof Rangka baja ringan  Int/eks: 3 Kamar Tidur 3 Kamar Mandi Ruang Tamu Dapur Carport 2 Lantai Balkon  Legalitas SHM One Gate System  pembayaran: Cash bertahap-Cash Keras  Hub: 0877xxxxxxxx",960000000.0,60.0,90.0,3.0,3.0
1 Lantai SHM di Pasteur Dekat Kampus,"Rp 5,9 Miliar","Pasteur, Bandung",494 m²,269 m²,4.0,3.0,SHM,Lainnya,1.0,1.0,"Rumah 1 lantai di Pasteur, Bandung.  For sale rumah di wilayah yang nyaman dengan pemandangan Lokasi di Pusat Kota. Properti 1 lantai bergaya contemporary ini berada di lingkungan samping jalan.  Kategorinya/fasilitas yg ada, adalah sebagai berikut: 1. Kamar : 4; 2. ⁠Kamar pembantu : 2; 3. ⁠Ruang Tamu; 4. ⁠Garasi untuk 2 mobil; 5. ⁠1 Carport unt 3-4 mobil; 6. ⁠Sumber Air: Air        Sumur pompa; 7. ⁠Halaman depan dan      samping; 8. Kamar mandi 3;    - Sertifikat: SHM - Sertifikat Hak Milik   - Kondisi Perabotan: Unfurnished  Tidak hanya itu, properti ini layak untuk dimiliki karena:    - Lokasi di Pusat Kota.   - Lingkungan Tenang dan Damai.   - Cocok Untuk Investasi.   - Cocok Untuk Dijual Kembali.   - Properti Bisa Nego.   - Akses Jalan Muat 2 Mobil.   - Dekat kampus Maranatha   - Dekat pusat perbelanjaan BTC, Paskal23, PVJ;  Keberadaan rumah berikut strategis, hanya selangkah menuju berbagai fasilitas utama dan menarik.  Hanya Rp. 5.900.000.xxx, anda bisa langsung dapatkan rumah istimewa di daerah Pasteur ini.",59000000000.0,494.0,269.0,4.0,3.0
Rumah 2 Lantai Cluster Batununggal,"Rp 4,5 Miliar","Batununggal, Bandung",262 m²,350 m²,4.0,4.0,SHM,Lainnya,1.0,2.0,Dijual Rumah 2 Lantai di Batununggal   Spesifikasi :  * Rumah 2 Lantai  * LT 262 m2  * LB 350 m2  * Kamar Tidur 3+1 (Semua kamar tidur terdapat kamar mandi dalam)  * kamar Mandi 4+1 * Halaman Depan & Belakang yang sangat Luas  * Listrik 4400 watt  * Air Submersible kedalaman 70meter * Water Heater Solahart * Carport  * Garasi * SHM  * IMB  * One Gate system   FREE :  -Kitchen Set  -AC semua kamar & ruang tamu  -Water Heater Solahart,45000000000.0,262.0,350.0,4.0,4.0
Dijual Rumah Sayap Dago Cocok untuk Usaha Kontrakan / Kost,"Rp 2,6 Miliar","Sayap Dago, Bandung",90 m²,100 m²,5.0,2.0,SHM,2200 Watt,1.0,2.0,"*FOR SALE*  *RUMAH COCOK UNTUK USAHA KOST DI LINGKUNGAN KAMPUS SAYAP DAGO*  Lokasi : Sangkuriang Kondisi : Semi Furnished Sertifikat : SHM  L.Tanah : 90 m² L.Bangunan : 100 m² Lebar Muka : 6 meter K.Tidur : 5 + 1 K.Mandi : 2 + 1 Listrik : 2200 watt Carport : 1 Garasi : 1 Hadap : selatan Bentuk Tanah : hook Sumber Air : PDAM  Akses jalan 2 mobil   *Price : Rp 2,6 M*  *DINI - 081720xxxx* *OneRealty*",26000000000.0,90.0,100.0,5.0,2.0
Rumah Murah Bebas Banjir,Rp 285 Juta,"Baleendah, Bandung",60 m²,36 m²,2.0,1.0,SHM,Lainnya,1.0,1.0,Pondasi batu kali  besi 10 full  bata merah press  genteng morando  rangka atap kayu  kusen pintu manglid  lantai granit 60x60  carport keramik 50x50  air sumur bor  listrik token 1300 wat,285000000.0,60.0,36.0,2.0,1.0
Rumah Indent Siap Huni di Perumahan Geoasri Lokasi Strategis Dekat Tengah Kota Bandung,Rp 390 Juta,"Arcamanik, Bandung",60 m²,36 m²,2.0,1.0,SHM,1300 Watt,,1.0,"Rumah bergaya minimalist modern di Arcamanik.  Miliki rumah 1 lantai yang modern ini,  dijual dengan pemandangan pegunungan yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di wilayah strategis serta menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian strategis.  Spesifikasi Utama Properti:    - Kamar Tidur: 2   - Kamar Mandi: 1   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 1300 W   - Arah Bangunan: Menghadap Utara   - Kondisi Perabotan: Unfurnished  Dilengkapi dengan:    - Akses Parkir.   - Masjid.   - One Gate System.   - Tempat Jemuran.   - Tempat Jemuran.  Fitur unggulan:    - Siap Huni.   - Bebas Banjir.   - Lokasi Pinggiran Kota.   - Adem & Sejuk.   - Properti Bisa Nego.   - Lokasi Strategis.   - Lokasi Bebas Banjir.   - One Gate System.   - Bisa KPR.  Berlokasi di Arcamanik, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.  Dengan harga Rp. 390.000.xxx, anda bisa memiliki hunian premium yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. Jangan lewatkan kesempatan untuk menikmati investasi di kawasan Arcamanik yang nyaman ini!  Hubungi segera untuk informasi lebih lanjut!",390000000.0,60.0,36.0,2.0,1.0
"Rumah Murah Aset Bank Syariah Nasional di Bandung, Cinambo, Kota Bandung",Rp 825 Juta,"Cinambo, Bandung",90 m²,70 m²,3.0,2.0,SHM,Lainnya,,2.0,,825000000.0,90.0,70.0,3.0,2.0
Jual Rumah Kbp Lokacitra Kota Baru Parahyangan dengan Kolam Renang,"Rp 3,4 Miliar","Kota Baru Parahyangan, Bandung",162 m²,215 m²,5.0,3.0,SHM,4400 Watt,,2.0,"*Jual Rumah KBP* Kota Baru Parahyangan Tatar Lokacitra  Lt:162 m2 Lb:-+ 215 m2 Kt: 5 Km: 3 Ada kolam renang indoor  *3,4M*  phi",34000000000.0,162.0,215.0,5.0,3.0
"Rumah Terawat Semi Furnished di Tatar Wangsakerta, Kbp - Kota Baru Parahyangan","Rp 2,8 Miliar","Kota Baru Parahyangan, Bandung",162 m²,125 m²,3.0,2.0,SHM,3500 Watt,,2.0,"Rumah dalam kondisi terawat, sudah direnovasi, dan siap huni. Berlokasi di kawasan Tatar Wangsakerta, Kota Baru Parahyangan, salah satu kawasan hunian yang tertata rapi dan nyaman.  Spesifikasi: - Luas Tanah: 162 m² - Luas Bangunan: 125 m² - Kamar Tidur: 3 + 1 - Kamar Mandi: 2 + 1 - Daya Listrik: 3500 Watt - Sertifikat Hak Milik (SHM) - Carport  Fasilitas Tambahan: ' Sudah direnovasi ' Dilengkapi 4 unit AC ' 2 water heater ' Mebel dapur ' Sofa ' Tempat tidur ' Lemari pakaian ' Meja kerja ' Partisi ruangan  Keterangan: Saat ini properti sedang disewa hingga November 2025  Harga: Rp 2,8 Miliar  More details, Nuy Telp/Whatsapp 0878xxxxxxxx  AG",28000000000.0,162.0,125.0,3.0,2.0
Rumah Siap Huni 2 Lantai di Tatar Simakirana Kbp Posisi Exclusive,"Rp 2,3 Miliar","Kota Baru Parahyangan, Bandung",120 m²,92 m²,3.0,2.0,HGB,Lainnya,,2.0,"Dijual Rumah Minimalis di Tatar Simakirana Kota Baru Parahyangan - Luas Tanah : 120 m2 - Luas Bangunan : -/+ 92 m2 - 2 Lantai - Lebar Muka : 8 m - Kamar Tidur : 3 - Kamar Mandi : 2 - Air Artesis - HGB - Hadap Selatan  Harga : 2,3 M (Nego)  More details, Nuy Discovery Property Telp/Whatsapp 0878xxxxxxxx  HS-AH",23000000000.0,120.0,92.0,3.0,2.0
Rumah Murah Bebas Banjir Dekat Gt Buah Batu Stt Telkom dan Podomoro Park,Rp 285 Juta,"Terusan Buah Batu, Bandung",60 m²,36 m²,2.0,1.0,SHM,Lainnya,1.0,1.0,Pondasi batu kali  besi 10 full  bata merah press  genteng morando  rangka atap kayu  kusen pintu manglid  lantai granit 60x60  carport keramik 50x50  air sumur bor  listrik token 1300 wat,285000000.0,60.0,36.0,2.0,1.0
"Rumah Mewah Design Villa Bali, Dg Kolam Renang",Rp 8 Miliar,"Rancasari, Bandung",415 m²,400 m²,7.0,5.0,SHM,Lainnya,,2.0,Keterangan rumah :  Designed by : Emporio Architect  LT/LB = 405/400 Bangunan 2 Lantai + Rooftop Kusen n pintu2 kayu bengkirai oven Kusen2 jendela luar UPVC kedap suara R Tamu 1 R Keluarga 2 Kamar Utama 1( KM dalam) Kamar anak 3 (KM dalam) Kamar Tamu 1 Kamar pembantu 2 Kamar/ruang kucing 1 WIC 1 KM 6 Dapur basah Dapur bersih/kering Full furnish (informa) Interior (Abadi Jaya) Lantai utama Marmer Kamar Mandi utama marmer Lantai lain Granit tile Valentino gress Cat tembok premium Jotun Daya Listrik 16.000 kwH Solar Cell 10.000 kw (Listrik gratis) Air PDAM Kolam renang 1 (10x4) Musholla 1 Gudang 2 Water heater sentral CCTV 12 titik Kamera Internet Indihome,8000000000.0,415.0,400.0,7.0,5.0
Rumah Baru Buah Batu Dekat Stt Telkom Bandung Selatan,Rp 630 Juta,"Terusan Buah Batu, Bandung",72 m²,36 m²,2.0,1.0,HGB,2200 Watt,,1.0,"Rumah Baru Buah Batu Dekat stt Telkom Bandung Selatan L. Bangunan 36m L. Tanah 72m K. Tidur 2 & K. Mandi 1 Bangunan Baru Carport 1 Lingkungan nyaman dan Bangunan Berkualitas Fasilitas perumahan : Mesjid & Onegate system keamanan 24jam   Promo : DP 0% Free Biaya Pajak Pembeli & Free Biaya Notaris  Bonus Canopy,Torn,Pompa  Strategis Dekat akses Jalan Raya Terusan Buah Batu, dekat Tol Buah Batu Bandung & STT Telkom Bandung   Harga 630jt  Minat? Hubungi : Fisti 0812xxxxxxxx",630000000.0,72.0,36.0,2.0,1.0
"Rumah Murah Aset Bank Syariah Nasional di Arcamanik, Kota Bandung",Rp 650 Juta,"Arcamanik, Bandung",100 m²,73 m²,3.0,2.0,SHM,Lainnya,,2.0,,650000000.0,100.0,73.0,3.0,2.0
"Rumah Murah Aset Bank Syariah Nasional di Bandung, Cileunyi Kab.bandung",Rp 875 Juta,"Cileunyi, Bandung",90 m²,100 m²,3.0,2.0,SHM,Lainnya,,2.0,,875000000.0,90.0,100.0,3.0,2.0
Rumah Siap Huni,Rp 10 Miliar,"Singgasana, Bandung",275 m²,314 m²,6.0,4.0,SHM,Lainnya,2.0,2.0,"JUAL CEPAT RUMAH SINGGASANA PRADANA BANDUNG   LT. 275 m2 LB. 314 m2 2 lantai + dak torrn LEBAD MUKA 10,6 M SHGB Hadap Barat K. TIDUR : 4+2 (kmr mandi utama full marmer import, bathtube & kualitas premium) K. MANDI : 3+1 Listrik 10.000 watt Air sumur bor Taman depan belakang include furniture BUILT IN (kitchen set 2 set dan wardrobe 2 kamar) Kamar full parket, lantai full marmer Kolam ikan koi  LUX  HARGA 10 M (NEGO)  MIRA - WIJAYA PROPERTY 0896xxxxxxxx",10000000000.0,275.0,314.0,6.0,4.0
Jual Cepat! Rumah 1 Lantai Hunian Nyaman & Aman Cangkuang Bandung,Rp 625 Juta,"Cangkuang, Bandung",90 m²,60 m²,3.0,1.0,SHM,1300 Watt,,1.0,"Rumah 1 lantai di Cangkuang, Bandung. Lokasi strategis deket ke Soreang,  Katapang,  Pacet, kec Banjaran  Dijual rumah di wilayah yang tenang dengan pemandangan permukiman warga. Properti 1 lantai bergaya minimalis ini berada di lingkungan yang mudah dijangkau.  Kategorinya adalah sebagai berikut:    - Kamar Tidur: 3   - Kamar Mandi: 1   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 1300 W   - Hadap: Selatan   - Kondisi Perabotan: Unfurnished  Tentunya properti ini layak untuk anda dapatkan karena:    - Bisa KPR.   - Over Kredit.   - Take Over.   - Bebas Banjir.   - Lingkungan Islami.   - Dekat Fasilitas Kesehatan.   - Dekat Tempat Ibadah.   - Dekat Akses Tol.  Properti ini telah lengkap dengan fasilitas:    - Wastafel.   - Kitchen Set.   - Pemanas Air.   - Keamanan 24 jam.   - Masjid.   - Tempat Laundry.   - Tempat Jemuran.   - Tempat Jemuran.  Rumah terawat, bebas banjir dan sudah direnovasi dari bentuk awalnya (jadi 3 kamar tidur, ada kitchen set, ada shower set, ada toren, water heater dan pompa pendorong), listrik 1300, air PDAM bersih+deras, 7 menit dari Gerbang Tol Soreang, 5 menit dari RSUD Soreang, dijual karena ditinggal tugas dinas ke luar kota bertahun tahun, bisa cash keras ato KPR take over ya.. Apabila berminat dan mau tanya2 dulu, boleh silakan DM saja, terimakasih",625000000.0,90.0,60.0,3.0,1.0
Dijual Rumah Luas dan Nyaman di Margahayu Bandung,"Rp 1,4 Miliar","Margahayu, Bandung",159 m²,186 m²,3.0,4.0,SHM,2200 Watt,,1.0,"DIJUAL RUMAH DI MARGAHAYU RAYA  Hunian nyaman dengan bangunan luas di kawasan Margahayu Raya. Cocok untuk keluarga yang membutuhkan ruang lebih lega dengan lingkungan yang sudah ramai dan akses mudah ke berbagai fasilitas kota.  Spesifikasi: LT 159 m² LB 186 m² 1 Lantai 3 Kamar Tidur 4 Kamar Mandi Listrik 2200 Watt Garasi 1 Mobil Hadap Selatan Air PDAM Sertifikat SHM  ✨ Rumah luas dengan banyak kamar mandi, cocok untuk keluarga besar dan siap dihuni. Hubungi kami untuk info lengkap dan jadwal survey.  #13ES",14000000000.0,159.0,186.0,3.0,4.0
